,index,start_date_time,title,price,ticket_url,type,venue
68,68,2023-08-15 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
69,69,2023-08-15 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
70,70,2023-08-16 14:15:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
71,71,2023-08-16 19:00:00,"Ultima Notte di Amore, L'",10,TBD,Bioscoop,fchyena
72,72,2023-08-11 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
73,73,2023-08-11 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
74,74,2023-08-12 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
75,75,2023-08-12 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
76,76,2023-08-13 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
77,77,2023-08-13 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
78,78,2023-08-14 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
79,79,2023-08-14 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
80,80,2023-08-15 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
81,81,2023-08-15 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
82,82,2023-08-16 14:30:00,Oppenheimer,10,TBD,Bioscoop,fchyena
83,83,2023-08-16 20:15:00,Oppenheimer,10,TBD,Bioscoop,fchyena
84,84,2023-08-11 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
85,85,2023-08-11 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
86,86,2023-08-11 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
87,87,2023-08-12 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
88,88,2023-08-12 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
89,89,2023-08-12 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
90,90,2023-08-13 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
91,91,2023-08-13 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
92,92,2023-08-13 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
93,93,2023-08-14 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
94,94,2023-08-14 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
95,95,2023-08-14 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
96,96,2023-08-15 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
97,97,2023-08-15 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
98,98,2023-08-15 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
99,99,2023-08-16 16:45:00,Barbie,10,TBD,Bioscoop,fchyena
100,100,2023-08-16 18:00:00,Barbie,10,TBD,Bioscoop,fchyena
101,101,2023-08-16 21:30:00,Barbie,10,TBD,Bioscoop,fchyena
102,102,2023-08-12 12:15:00,Ladybug & Cat Noir: De Film,10,TBD,Bioscoop,fchyena
103,103,2023-08-14 12:15:00,Ladybug & Cat Noir: De Film,10,TBD,Bioscoop,fchyena
104,104,2023-08-11 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
105,105,2023-08-13 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
106,106,2023-08-15 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
107,107,2023-08-16 12:30:00,"Ruby Gillman, Teenage Kraken (2D NL)",10,TBD,Bioscoop,fchyena
