,index,venue,type,start_date_time,title,price,ticket_url
32,32,de_balie,Actualiteit,2023-10-09 14:00:00,Nationaal Gesprek over Vrijheid: demissionair minister Carola Schouten,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-minister-carola-schouten-09-10-2023/tickets
33,33,de_balie,Actualiteit,2023-10-10 20:00:00,De PEN spreekt: Oeigoerse literatuur,10,https://debalie.nl/programma/de-pen-spreekt-oeigoerse-literatuur-10-10-2023/tickets
34,34,de_balie,Actualiteit,2023-10-11 16:00:00,Nationaal Gesprek over Vrijheid: demissionair minister Dilan Yeşilgöz-Zegerius,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-minister-dilan-yesilgoz-zegerius-11-10-2023/tickets
35,35,de_balie,Actualiteit,2023-10-11 20:00:00,Aan de Landbouwtafel met Charles C. Mann,10,https://debalie.nl/programma/aan-de-landbouwtafel-met-charles-c-mann-2-11-10-2023/tickets
36,36,de_balie,Actualiteit,2023-10-12 18:30:00,Opening Afrovibes festival: Liquid Traces,10,https://debalie.nl/programma/opening-afrovibes-festival-liquid-traces-12-10-2023/tickets
37,37,de_balie,Actualiteit,2023-10-12 20:30:00,Afrovibes performance: Unbreakable,10,https://debalie.nl/programma/afrovibes-performance-unbreakable-12-10-2023/tickets
38,38,de_balie,Actualiteit,2023-10-13 18:30:00,Afrovibes talk: generations about ‘Black’,10,https://debalie.nl/programma/afrovibes-talk-generations-about-black-13-10-2023/tickets
39,39,de_balie,Actualiteit,2023-10-13 20:30:00,Afrovibes performance: Koulounisation,10,https://debalie.nl/programma/afrovibes-performance-koulounisation-13-10-2023/tickets
40,40,de_balie,Actualiteit,2023-10-14 18:30:00,Afrovibes talk: art &amp; spirituality,10,https://debalie.nl/programma/afrovibes-talk-art-spirituality-14-10-2023/tickets
41,41,de_balie,Actualiteit,2023-10-14 20:30:00,Afrovibes performance: Pourvu que la mastication ne soit pas longue,10,https://debalie.nl/programma/afrovibes-performance-pourvu-que-la-mastication-ne-soit-pas-longue-14-10-2023/tickets
42,42,de_balie,Actualiteit,2023-10-20 17:00:00,Plein Publiek: Naaz,10,https://debalie.nl/programma/plein-publiek-naaz-20-10-2023/tickets
43,43,de_balie,Actualiteit,2023-10-20 20:00:00,Hoe overleef ik volwassen worden? Advies van Francine Oomen,10,https://debalie.nl/programma/hoe-overleef-ik-volwassen-worden-met-francine-oomen-20-10-2023/tickets
44,44,de_balie,Actualiteit,2023-11-03 13:00:00,Nationaal Gesprek over Vrijheid: Peter Kwint,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-peter-kwint-03-11-2023/tickets
45,45,de_balie,Actualiteit,2023-11-13 10:00:00,Nationaal Gesprek over Vrijheid: Farid Azarkan,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-farid-azarkan-2-13-11-2023/tickets
46,46,de_balie,Actualiteit,2023-11-27 11:00:00,Nationaal Gesprek over Vrijheid: demissionair minister Robbert Dijkgraaf,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-demissionair-minister-robbert-dijkgraaf-27-11-2023/tickets
47,47,de_balie,Actualiteit,2023-12-13 11:00:00,Nationaal Gesprek over Vrijheid: demissionair minister Kasja Ollongren,10,https://debalie.nl/programma/nationaal-gesprek-over-vrijheid-demissionair-minister-kasja-ollongren-13-12-2023/tickets
48,48,de_balie,Actualiteit,2023-12-14 20:00:00,100 jaar Gerard Reve,10,https://debalie.nl/programma/100-jaar-gerard-reve-14-12-2023/tickets
49,0,studiok,Bioscoop,2023-08-06 17:10:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
50,1,studiok,Bioscoop,2023-08-06 17:15:00,Le paradis (ENG SUBS),12,https://studio-k.nu/film/le-paradis-eng-subs/
51,2,studiok,Bioscoop,2023-08-06 18:05:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
52,3,studiok,Bioscoop,2023-08-06 19:10:00,Barbie,12,https://studio-k.nu/film/barbie/
53,4,studiok,Bioscoop,2023-08-06 20:40:00,Oppenheimer,12,https://studio-k.nu/film/oppenheimer/
54,5,studiok,Bioscoop,2023-08-06 21:15:00,Asteroid City,12,https://studio-k.nu/film/asteroid-city/
55,6,studiok,Bioscoop,2023-08-06 21:30:00,Barbie,12,https://studio-k.nu/film/barbie/
56,7,studiok,Bioscoop,2023-08-07 11:40:00,Barbie,12,https://studio-k.nu/film/barbie/
57,8,studiok,Bioscoop,2023-08-07 11:50:00,Le paradis,12,https://studio-k.nu/film/le-paradis/
58,9,studiok,Bioscoop,2023-08-07 11:55:00,Mission: Impossible – Dead Reckoning Part One,12,https://studio-k.nu/film/mission-impossible-dead-reckoning-part-one/
