,__typename,id,uri,title,startDateTime,date,subtitle,sort,eventStatus,highlight,supportAct,announceSupport,soldOut,location,image
36,eventType,1060932,program/locking-waacking-forever-battles-2023/1060932,Locking & Waacking Forever Battles 2023,2023-08-23T10:45:00+02:00,2023-08-23,Summer Dance Forever 2023,"['1692780300000', '1060932']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1076113/Locking-Waacking-Battle.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1076113/Locking-Waacking-Battle.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1076113/Locking-Waacking-Battle.jpg'}]"
37,eventType,1060980,program/benthe-pac-pac-hendrickx-ntela/1060980,"Benthé, Bots Kingdom, Hendrickx Ntela",2023-08-23T20:30:00+02:00,2023-08-23,Summer Dance Forever 2023,"['1692815400000', '1060980']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37332', 'title': 'Internationaal Theater Amsterdam'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/Wednesday-Theatre.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/Wednesday-Theatre.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/Wednesday-Theatre.jpg'}]"
38,eventType,1060964,program/ghetto-funk-collective-presents-dancing-machine/1060964,Ghetto Funk Collective presents Dancing Machine,2023-08-23T23:00:00+02:00,2023-08-23,Clubnight Summer Dance Forever 2023,"['1692824400000', '1060964']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1076085/Ghetto-Funk-Collective-present-Dancing-Machine.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1076085/Ghetto-Funk-Collective-present-Dancing-Machine.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1076085/Ghetto-Funk-Collective-present-Dancing-Machine.jpg'}]"
39,eventType,1060940,program/popping-forever-preselections-battles-2023/1060940,Popping Forever Preselections & Battles 2023,2023-08-24T12:00:00+02:00,2023-08-24,Summer Dance Forever 2023,"['1692871200000', '1060940']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1075907/Popping-Forever.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1075907/Popping-Forever.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1075907/Popping-Forever.jpg'}]"
40,eventType,1060984,program/the-ruggeds-x-ghetto-funk-collective-bots-kingdom-sons-of-wind-snack-break-movement/1060984,"The Ruggeds x Ghetto Funk Collective, Bots Kingdom, Sons of Wind, Snack Break Movement",2023-08-24T20:30:00+02:00,2023-08-24,Summer Dance Forever 2023,"['1692901800000', '1060984']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37328', 'title': 'DeLaMar Theater'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1076040/Thursday-Theatre-TS.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1076040/Thursday-Theatre-TS.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1076040/Thursday-Theatre-TS.jpg'}]"
41,eventType,1060968,program/old-school-the-early-years/1060968,Old School: The Early Years,2023-08-24T23:00:00+02:00,2023-08-24,Club night Summer Dance Forever 2023,"['1692910800000', '1060968']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1076100/Old-School_-The-early-years.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1076100/Old-School_-The-early-years.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1076100/Old-School_-The-early-years.jpg'}]"
42,eventType,1075154,program/preselections-hiphop-house-dance-forever-2023/1075154,Preselections: Hiphop & House Dance Forever 2023,2023-08-25T16:00:00+02:00,2023-08-25,Summer Dance Forever 2023,"['1692972000000', '1075154']",confirmed,False,,2023-08-03T21:32:11+02:00,True,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1075371/Preselection-House-HipHop.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1075371/Preselection-House-HipHop.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1075371/Preselection-House-HipHop.jpg'}]"
43,eventType,1307837,program/garden-by-day/1307837,Garden By Day,2023-08-25T17:00:00+02:00,2023-08-25,"Music, food and drinks in the garden","['1692975600000', '1307837']",,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '1078907', 'title': 'GARDEN (Tolhuistuin)'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1307624/eyJidWNrZXQiOiJhc3NldHMucGFyYWxsZWwuYW0iLCJrZXkiOiJnYXJkZW4tYmFubmVyLXctbG9nby5wbmciLCJlZGl0cyI6eyJw.jpg'}]"
44,eventType,1075421,program/ziongate/1075421,Ziongate,2023-08-25T23:00:00+02:00,2023-08-25,Club night Summer Dance Forever 2023,"['1692997200000', '1075421']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1075575/ZionGate.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1075575/ZionGate.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1075575/ZionGate.jpg'}]"
45,eventType,1300275,program/waacking-punking-history-lecture-by-princess-lockerooo/1300275,Waacking/Punking History Lecture by Princess Lockerooo,2023-08-26T13:30:00+02:00,2023-08-26,Summer Dance Forever 2023: Lecture about the rich history and legacy of waacking,"['1693049400000', '1300275']",,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/Waacking-Forever-©Kate-Lang-verkleind.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/Waacking-Forever-©Kate-Lang-verkleind.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/Waacking-Forever-©Kate-Lang-verkleind.jpg'}]"
46,eventType,1300391,program/hip-hop-games-exhibition/1300391,Hip Hop Games Exhibition,2023-08-26T15:00:00+02:00,2023-08-26,Summer Dance Forever 2023: Topnotch dancers and performers improvise the various legendary Hip Hop Games challenges,"['1693054800000', '1300391']",,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '1300394', 'title': 'Vondelpark Openluchttheater'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/HipHopGames.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/HipHopGames.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/HipHopGames.jpg'}]"
47,eventType,1060948,program/house-dance-forever-battles-2023/1060948,House Dance Forever Battles 2023,2023-08-26T18:30:00+02:00,2023-08-26,Summer Dance Forever 2023,"['1693067400000', '1060948']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1075509/House-Dance-Forever.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1075509/House-Dance-Forever.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1075509/House-Dance-Forever.jpg'}]"
48,eventType,1060972,program/kc-the-funkaholic-all-nighter-this-aint-the-future-this-is-forever/1060972,KC the Funkaholic All Nighter,2023-08-26T23:00:00+02:00,2023-08-26,Club night Summer Dance Forever 2023,"['1693083600000', '1060972']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/1075643/KC-the-Funkaholic-All-nighter.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/1075643/KC-the-Funkaholic-All-nighter.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/1075643/KC-the-Funkaholic-All-nighter.jpg'}]"
49,eventType,1299790,program/paradisodebat-2023/1299790,Paradisodebat 2023,2023-08-27T13:00:00+02:00,2023-08-27,Wat betekent de val van het kabinet voor de toekomst van het cultuurbeleid?,"['1693134000000', '1299790']",confirmed,False,,2023-08-03T21:32:11+02:00,False,"[{'id': '37310', 'title': 'Paradiso'}]","[{'desktop': 'https://assets.paradiso.nl/images/transforms/event/_100x100_crop_center-center_none/Paradisodebat_2023-BANNER.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_103x70_crop_center-center_none/Paradisodebat_2023-BANNER.jpg'}, {'desktop': 'https://assets.paradiso.nl/images/transforms/event/_300x360_crop_center-center_none/Paradisodebat_2023-BANNER.jpg'}]"
