,index,start_date_time,title,price,ticket_url,type,venue
42,42,2023-09-12T17:00:00.000000Z,Amaarae,30,http://www.melkweg.nl//nl/agenda/amaarae-12-09-2023,Concert,melkweg
43,43,2023-09-12T17:00:00.000000Z,Strangeways,30,http://www.melkweg.nl//nl/agenda/strangeways-12-09-2023,Concert,melkweg
44,44,2023-09-12T17:30:00.000000Z,Charley Crockett,30,http://www.melkweg.nl//nl/agenda/charley-crocket-12-09-2023,Concert,melkweg
45,45,2023-09-12T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-12-09-2023,Concert,melkweg
46,46,2023-09-13T17:00:00.000000Z,Juanes,30,http://www.melkweg.nl//nl/agenda/juanes-13-09-2023,Concert,melkweg
47,47,2023-09-13T17:00:00.000000Z,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd (2023),30,http://www.melkweg.nl//nl/agenda/have-you-got-it-yet-the-story-of-syd-barrett-and-pink-floyd-2023-13-09-2023,Concert,melkweg
48,48,2023-09-13T17:30:00.000000Z,NEFFEX,30,http://www.melkweg.nl//nl/agenda/neffex-13-09-2023,Concert,melkweg
49,49,2023-09-13T18:00:00.000000Z,Two Lanes,30,http://www.melkweg.nl//nl/agenda/two-lanes-13-09-2023,Concert,melkweg
50,50,2023-09-14T16:30:00.000000Z,Parels uit de Bijlmer,30,http://www.melkweg.nl//nl/agenda/parels-uit-de-bijlmer-14-09-2023,Concert,melkweg
51,51,2023-09-15T18:00:00.000000Z,RADAR: Send me Flowers / George & The Rams,30,http://www.melkweg.nl//nl/agenda/radar-15-09-2023,Concert,melkweg
52,52,2023-09-15T18:00:00.000000Z,Vidéothèque - Video Art in Cinema,30,http://www.melkweg.nl//nl/agenda/videotheque-video-art-in-cinema-15-09-2023,Concert,melkweg
53,53,2023-09-15T21:30:00.000000Z,Pyxls,30,http://www.melkweg.nl//nl/agenda/pyxls-15-09-2023,Concert,melkweg
54,54,2023-09-15T21:59:00.000000Z,No Diggity,30,http://www.melkweg.nl//nl/agenda/no-diggity-15-09-2023,Concert,melkweg
55,55,2023-09-16T17:00:00.000000Z,Jin-Roh: The Wolf Brigade (1999),30,http://www.melkweg.nl//nl/agenda/jin-roh-the-wolf-brigade-1999-16-09-2023,Concert,melkweg
56,56,2023-09-16T18:00:00.000000Z,Die Nerven,30,http://www.melkweg.nl//nl/agenda/die-nerven-16-09-2023,Concert,melkweg
57,57,2023-09-16T19:15:00.000000Z,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd (2023),30,http://www.melkweg.nl//nl/agenda/have-you-got-it-yet-the-story-of-syd-barrett-and-pink-floyd-2023-16-09-2023,Concert,melkweg
58,58,2023-09-16T21:30:00.000000Z,This Never Happened,30,http://www.melkweg.nl//nl/agenda/this-never-happened-16-09-2023,Concert,melkweg
59,59,2023-09-17T15:00:00.000000Z,Have You Got It Yet? The Story of Syd Barrett and Pink Floyd (2023),30,http://www.melkweg.nl//nl/agenda/have-you-got-it-yet-the-story-of-syd-barrett-and-pink-floyd-2023-17-09-2023,Concert,melkweg
60,60,2023-09-17T17:00:00.000000Z,Lauren Spencer Smith: Mirror Tour,30,http://www.melkweg.nl//nl/agenda/lauren-spencer-smith-17-09-2023,Concert,melkweg
61,61,2023-09-17T17:30:00.000000Z,grentperez,30,http://www.melkweg.nl//nl/agenda/grentperez-17-09-2023,Concert,melkweg
62,62,2023-09-18T17:00:00.000000Z,Lauren Spencer Smith: Mirror Tour (extra show),30,http://www.melkweg.nl//nl/agenda/succes-lauren-spencer-smith-18-09-2023,Concert,melkweg
63,63,2023-09-18T17:30:00.000000Z,Loveless,30,http://www.melkweg.nl//nl/agenda/loveless-18-09-2023,Concert,melkweg
64,64,2023-09-20T17:30:00.000000Z,Holly Humberstone,30,http://www.melkweg.nl//nl/agenda/holly-humberstone-20-09-2023,Concert,melkweg
65,65,2023-09-20T18:00:00.000000Z,Demob Happy,30,http://www.melkweg.nl//nl/agenda/demob-happy-20-09-2023,Concert,melkweg
66,66,2023-09-20T21:30:00.000000Z,Techno Tuesday,30,http://www.melkweg.nl//nl/agenda/techno-tuesday-20-09-2023,Concert,melkweg
67,67,2023-09-21T17:00:00.000000Z,Alceu Valença,30,http://www.melkweg.nl//nl/agenda/alceu-valenca-21-09-2023,Concert,melkweg
68,68,2023-09-21T17:00:00.000000Z,We Are Public Awards,30,http://www.melkweg.nl//nl/agenda/we-are-public-awards-21-09-2023,Concert,melkweg
69,69,2023-09-22T18:00:00.000000Z,Noah Reid,30,http://www.melkweg.nl//nl/agenda/noah-reid-22-09-2023,Concert,melkweg
70,70,2023-09-22T21:30:00.000000Z,Afrolosjes vs. Gowtu,30,http://www.melkweg.nl//nl/agenda/afrolosjes-vs-gowtu-22-09-2023,Concert,melkweg
71,71,2023-09-22T21:59:00.000000Z,Moksi & Friends,30,http://www.melkweg.nl//nl/agenda/moksi-friends-22-09-2023,Concert,melkweg
