id,type,venue,start_date_time,title,price,ticket_url
98292,Actualiteit,De Balie,2023-08-23 19:00:00,{'rendered': 'De Balie Kijkt: Bittersweet Rain'},10,https://debalie.nl/cinema/de-balie-kijkt-bittersweet-rain/tickets/11829276
98361,Actualiteit,De Balie,2023-08-24 19:00:00,{'rendered': 'De Balie Kijkt: Tótem'},10,https://debalie.nl/cinema/de-balie-kijkt-totem/tickets/11829291
98056,Actualiteit,De Balie,2023-08-25 17:00:00,"{'rendered': 'WCA Talk: Revolt, art &amp; feminism in Iran'}",10,https://debalie.nl/programma/wca-talk-revolt-art-feminism-in-iran-25-08-2023/tickets
98294,Actualiteit,De Balie,2023-08-26 19:00:00,{'rendered': 'De Balie Kijkt: Seven Winters in Tehran'},10,https://debalie.nl/cinema/de-balie-kijkt-seven-winters-in-tehran/tickets/11829281
98295,Actualiteit,De Balie,2023-08-26 21:30:00,{'rendered': 'De Balie Kijkt: Sira'},10,https://debalie.nl/cinema/de-balie-kijkt-sira/tickets/11829286
98014,Actualiteit,De Balie,2023-09-01 19:00:00,{'rendered': 'De Balie Kijkt: Present Are the Absent'},10,https://debalie.nl/cinema/de-balie-kijkt-present-are-the-absent/tickets/11829112
98036,Actualiteit,De Balie,2023-09-03 16:00:00,{'rendered': 'De Balie Kijkt: Inside Aut'},10,https://debalie.nl/cinema/de-balie-kijkt-inside-aut/tickets/11829196
98558,Actualiteit,De Balie,2023-09-04 20:00:00,{'rendered': 'De Republiek'},10,https://debalie.nl/programma/de-republiek-70-04-09-2023/tickets
98116,Actualiteit,De Balie,2023-09-07 19:30:00,{'rendered': 'De Balie Kijkt: It Is True But Not Here'},10,https://debalie.nl/cinema/de-balie-kijkt-it-is-true-but-not-here/tickets/11829210
97899,Actualiteit,De Balie,2023-09-08 17:00:00,{'rendered': 'Plein Publiek: Jessica Gorter'},10,https://debalie.nl/programma/plein-publiek-jessica-gorter-08-09-2023/tickets
97895,Actualiteit,De Balie,2023-09-09 20:00:00,{'rendered': 'Sahra Mani on the situation in Afghanistan'},10,https://debalie.nl/programma/sahra-mani-on-the-situation-in-afghanistan-09-09-2023/tickets
